ano_ingresso|unidade|sexo|nome_curso|area_curso|nivel_curso|setor_ocupacao|tipo_ocupacao|natureza|egressos|ocupados|migrantes|salario
2014|IFSP|F|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Comércio|Técnicos de desenvolvimento de sistemas e aplicações|Privado|1|1|0|4316.27
2014|IFSP|F|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Ignorado|Ignorado|Ignorado|2|0|0|
2014|IFSP|F|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Indústria|Agentes, assistentes e auxiliares administrativos|Privado|2|2|0|2766.73
2014|IFSP|F|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Analistas de tecnologia da informação|Privado|2|2|0|7212.165
2014|IFSP|F|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Engenheiros em computação|Privado|1|1|0|12113.45
2014|IFSP|F|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Gerentes de tecnologia da informação|Privado|1|1|0|11455.25
2014|IFSP|F|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Supervisores de vendas e de prestação de serviços|Privado|1|1|0|6996.54
2014|IFSP|M|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Ignorado|Ignorado|Ignorado|13|0|0|
2014|IFSP|M|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Administradores de tecnologia da informação|Privado|1|1|0|11482.6
2014|IFSP|M|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Agentes, assistentes e auxiliares administrativos|Privado|1|1|0|3595.48
2014|IFSP|M|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Analistas de tecnologia da informação|Privado|7|7|0|5775.861428571428
2014|IFSP|M|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Engenheiros em computação|Privado|2|2|0|12466.65
2014|IFSP|M|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Professores do ensino profissional|Público|1|1|0|3879.81
2014|IFSP|M|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Programadores, avaliadores e orientadores de ensino|Público|1|1|0|2754.95
2014|IFSP|M|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Técnicos de desenvolvimento de sistemas e aplicações|Privado|4|4|0|4023.4175
2014|IFSP|M|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Técnicos de laboratório industrial|Público|1|1|0|2020.49
2014|IFSP|M|TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|DESENVOLVIMENTO DE SISTEMAS|GRADUAÇÃO|Serviços|Técnicos de suporte e monitoração ao usuário de tecnologia da informação.|Privado|1|1|0|3345.66
2015|CPII|F|TÉCNICO INTEGRADO EM MEIO AMBIENTE|AMBIENTE E SAÚDE|TÉCNICO|Ignorado|Ignorado|Ignorado|5|0|0|
2015|CPII|F|TÉCNICO INTEGRADO EM MEIO AMBIENTE|AMBIENTE E SAÚDE|TÉCNICO|Serviços|Caixas e bilheteiros (exceto caixa de banco)|Privado|1|1|0|2857.25
2015|CPII|F|TÉCNICO INTEGRADO EM MEIO AMBIENTE|AMBIENTE E SAÚDE|TÉCNICO|Serviços|Recepcionistas|Privado|1|1|0|1027.25
2015|CPII|F|TÉCNICO INTEGRADO EM MEIO AMBIENTE|AMBIENTE E SAÚDE|TÉCNICO|Serviços|Técnicos de suporte e monitoração ao usuário de tecnologia da informação.|Privado|1|1|0|667.87
2015|CPII|M|TÉCNICO INTEGRADO EM MEIO AMBIENTE|AMBIENTE E SAÚDE|TÉCNICO|Ignorado|Ignorado|Ignorado|8|0|0|
2015|CPII|M|TÉCNICO INTEGRADO EM MEIO AMBIENTE|AMBIENTE E SAÚDE|TÉCNICO|Indústria|Trabalhadores de soldagem e corte de ligas metálicas|Privado|1|1|0|524.07
2015|CPII|M|TÉCNICO INTEGRADO EM MEIO AMBIENTE|AMBIENTE E SAÚDE|TÉCNICO|Serviços|Agentes, assistentes e auxiliares administrativos|Privado|1|1|0|1186.13
2015|CPII|M|TÉCNICO INTEGRADO EM MEIO AMBIENTE|AMBIENTE E SAÚDE|TÉCNICO|Serviços|Técnicos de desenvolvimento de sistemas e aplicações|Privado|1|1|1|10267.07
2015|IFB|F|TÉCNICO EM ALIMENTOS|PRODUÇÃO ALIMENTÍCIA|TÉCNICO INTEGRADO|Ignorado|Ignorado|Ignorado|9|0|0|
2015|IFB|F|TÉCNICO EM ALIMENTOS|PRODUÇÃO ALIMENTÍCIA|TÉCNICO INTEGRADO|Serviços|Almoxarifes e armazenistas|Privado|1|1|1|790.91
2015|IFB|F|TÉCNICO EM ALIMENTOS|PRODUÇÃO ALIMENTÍCIA|TÉCNICO INTEGRADO|Serviços|Trabalhadores nos  serviços de manutenção de edificações|Privado|1|1|1|1261.75
2015|IFB|M|TÉCNICO EM ALIMENTOS|PRODUÇÃO ALIMENTÍCIA|TÉCNICO INTEGRADO|Comércio|Operadores do comércio em lojas e mercados|Privado|1|1|0|1416.95
2015|IFMA|M|CIÊNCIA DA COMPUTAÇÃO|CIÊNCIAS EXATAS E DA TERRA|SUPERIOR|Serviços|Dirigentes do serviço público|Público|1|1|0|1700.8
2015|IFMA|M|ENGENHARIA ELÉTRICA|ENGENHARIA|SUPERIOR|Ignorado|Ignorado|Ignorado|1|0|0|
